iter	Passed	Remaining
0	1	167
1	3	189
2	6	196
3	8	201
4	10	199
5	11	185
6	12	171
7	14	162
8	17	175
9	18	166
10	19	160
11	21	155
12	23	159
13	25	157
14	26	151
15	28	151
16	30	148
17	32	148
18	35	150
19	39	157
20	40	153
21	42	149
22	43	146
23	45	145
24	48	145
25	51	146
26	53	143
27	55	143
28	58	142
29	61	143
30	64	142
31	67	143
32	69	141
33	70	137
34	71	133
35	73	130
36	74	127
37	76	125
38	82	128
39	84	126
40	85	123
41	86	119
42	87	116
43	91	116
44	93	114
45	95	112
46	97	110
47	100	109
48	102	106
49	104	104
50	106	102
51	108	100
52	110	97
53	111	95
54	112	92
55	114	89
56	116	87
57	117	85
58	119	83
59	121	80
60	122	78
61	124	76
62	125	73
63	127	71
64	128	69
65	131	67
66	138	68
67	141	66
68	148	66
69	152	65
70	154	63
71	156	60
72	161	59
73	163	57
74	166	55
75	170	53
76	172	51
77	177	50
78	180	48
79	184	46
80	186	43
81	195	42
82	198	40
83	199	38
84	201	35
85	203	33
86	208	31
87	210	28
88	213	26
89	215	23
90	217	21
91	221	19
92	223	16
93	225	14
94	227	11
95	228	9
96	230	7
97	232	4
98	234	2
99	236	0
